"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"112",0,0.75,FALSE,4,6,150,4,13
"113",0.75,0.75,FALSE,4,6,150,5,13
"114",1.5,0.75,FALSE,4,6,150,6,13
"115",0,1.5,FALSE,4,6,150,7,13
"116",0.75,1.5,FALSE,4,6,150,8,13
"117",1.5,1.5,FALSE,4,6,150,9,13
"118",0,0,FALSE,4,6,150,1,14
"119",0.75,0,FALSE,4,6,150,2,14
"120",1.5,0,FALSE,4,6,150,3,14
"121",0,0.75,FALSE,4,6,150,4,14
"122",0.75,0.75,FALSE,4,6,150,5,14
"123",1.5,0.75,FALSE,4,6,150,6,14
"124",0,1.5,FALSE,4,6,150,7,14
"125",0.75,1.5,FALSE,4,6,150,8,14
"126",1.5,1.5,FALSE,4,6,150,9,14
"127",0,0,FALSE,4,6,150,1,15
"128",0.75,0,FALSE,4,6,150,2,15
"129",1.5,0,FALSE,4,6,150,3,15
"130",0,0.75,FALSE,4,6,150,4,15
"131",0.75,0.75,FALSE,4,6,150,5,15
"132",1.5,0.75,FALSE,4,6,150,6,15
"133",0,1.5,FALSE,4,6,150,7,15
"134",0.75,1.5,FALSE,4,6,150,8,15
"135",1.5,1.5,FALSE,4,6,150,9,15
"136",0,0,FALSE,4,6,150,1,16
"137",0.75,0,FALSE,4,6,150,2,16
"138",1.5,0,FALSE,4,6,150,3,16
"139",0,0.75,FALSE,4,6,150,4,16
"140",0.75,0.75,FALSE,4,6,150,5,16
"141",1.5,0.75,FALSE,4,6,150,6,16
"142",0,1.5,FALSE,4,6,150,7,16
"143",0.75,1.5,FALSE,4,6,150,8,16
"144",1.5,1.5,FALSE,4,6,150,9,16
"145",0,0,FALSE,4,6,150,1,17
"146",0.75,0,FALSE,4,6,150,2,17
"147",1.5,0,FALSE,4,6,150,3,17
"148",0,0.75,FALSE,4,6,150,4,17
"149",0.75,0.75,FALSE,4,6,150,5,17
"150",1.5,0.75,FALSE,4,6,150,6,17
"151",0,1.5,FALSE,4,6,150,7,17
"152",0.75,1.5,FALSE,4,6,150,8,17
"153",1.5,1.5,FALSE,4,6,150,9,17
"154",0,0,FALSE,4,6,150,1,18
"155",0.75,0,FALSE,4,6,150,2,18
"156",1.5,0,FALSE,4,6,150,3,18
"157",0,0.75,FALSE,4,6,150,4,18
"158",0.75,0.75,FALSE,4,6,150,5,18
"159",1.5,0.75,FALSE,4,6,150,6,18
"160",0,1.5,FALSE,4,6,150,7,18
"161",0.75,1.5,FALSE,4,6,150,8,18
"162",1.5,1.5,FALSE,4,6,150,9,18
"163",0,0,FALSE,4,6,150,1,19
"164",0.75,0,FALSE,4,6,150,2,19
"165",1.5,0,FALSE,4,6,150,3,19
"166",0,0.75,FALSE,4,6,150,4,19
"167",0.75,0.75,FALSE,4,6,150,5,19
"168",1.5,0.75,FALSE,4,6,150,6,19
"169",0,1.5,FALSE,4,6,150,7,19
"170",0.75,1.5,FALSE,4,6,150,8,19
"171",1.5,1.5,FALSE,4,6,150,9,19
"172",0,0,FALSE,4,6,150,1,20
"173",0.75,0,FALSE,4,6,150,2,20
"174",1.5,0,FALSE,4,6,150,3,20
"175",0,0.75,FALSE,4,6,150,4,20
"176",0.75,0.75,FALSE,4,6,150,5,20
"177",1.5,0.75,FALSE,4,6,150,6,20
"178",0,1.5,FALSE,4,6,150,7,20
"179",0.75,1.5,FALSE,4,6,150,8,20
"180",1.5,1.5,FALSE,4,6,150,9,20
"181",0,0,FALSE,4,6,150,1,21
"182",0.75,0,FALSE,4,6,150,2,21
"183",1.5,0,FALSE,4,6,150,3,21
"184",0,0.75,FALSE,4,6,150,4,21
"185",0.75,0.75,FALSE,4,6,150,5,21
