"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"554",0.75,0.75,FALSE,4,6,150,5,62
"555",1.5,0.75,FALSE,4,6,150,6,62
"556",0,1.5,FALSE,4,6,150,7,62
"557",0.75,1.5,FALSE,4,6,150,8,62
"558",1.5,1.5,FALSE,4,6,150,9,62
"559",0,0,FALSE,4,6,150,1,63
"560",0.75,0,FALSE,4,6,150,2,63
"561",1.5,0,FALSE,4,6,150,3,63
"562",0,0.75,FALSE,4,6,150,4,63
"563",0.75,0.75,FALSE,4,6,150,5,63
"564",1.5,0.75,FALSE,4,6,150,6,63
"565",0,1.5,FALSE,4,6,150,7,63
"566",0.75,1.5,FALSE,4,6,150,8,63
"567",1.5,1.5,FALSE,4,6,150,9,63
"568",0,0,FALSE,4,6,150,1,64
"569",0.75,0,FALSE,4,6,150,2,64
"570",1.5,0,FALSE,4,6,150,3,64
"571",0,0.75,FALSE,4,6,150,4,64
"572",0.75,0.75,FALSE,4,6,150,5,64
"573",1.5,0.75,FALSE,4,6,150,6,64
"574",0,1.5,FALSE,4,6,150,7,64
"575",0.75,1.5,FALSE,4,6,150,8,64
"576",1.5,1.5,FALSE,4,6,150,9,64
"577",0,0,FALSE,4,6,150,1,65
"578",0.75,0,FALSE,4,6,150,2,65
"579",1.5,0,FALSE,4,6,150,3,65
"580",0,0.75,FALSE,4,6,150,4,65
"581",0.75,0.75,FALSE,4,6,150,5,65
"582",1.5,0.75,FALSE,4,6,150,6,65
"583",0,1.5,FALSE,4,6,150,7,65
"584",0.75,1.5,FALSE,4,6,150,8,65
"585",1.5,1.5,FALSE,4,6,150,9,65
"586",0,0,FALSE,4,6,150,1,66
"587",0.75,0,FALSE,4,6,150,2,66
"588",1.5,0,FALSE,4,6,150,3,66
"589",0,0.75,FALSE,4,6,150,4,66
"590",0.75,0.75,FALSE,4,6,150,5,66
"591",1.5,0.75,FALSE,4,6,150,6,66
"592",0,1.5,FALSE,4,6,150,7,66
"593",0.75,1.5,FALSE,4,6,150,8,66
"594",1.5,1.5,FALSE,4,6,150,9,66
"595",0,0,FALSE,4,6,150,1,67
"596",0.75,0,FALSE,4,6,150,2,67
"597",1.5,0,FALSE,4,6,150,3,67
"598",0,0.75,FALSE,4,6,150,4,67
"599",0.75,0.75,FALSE,4,6,150,5,67
"600",1.5,0.75,FALSE,4,6,150,6,67
"601",0,1.5,FALSE,4,6,150,7,67
"602",0.75,1.5,FALSE,4,6,150,8,67
"603",1.5,1.5,FALSE,4,6,150,9,67
"604",0,0,FALSE,4,6,150,1,68
"605",0.75,0,FALSE,4,6,150,2,68
"606",1.5,0,FALSE,4,6,150,3,68
"607",0,0.75,FALSE,4,6,150,4,68
"608",0.75,0.75,FALSE,4,6,150,5,68
"609",1.5,0.75,FALSE,4,6,150,6,68
"610",0,1.5,FALSE,4,6,150,7,68
"611",0.75,1.5,FALSE,4,6,150,8,68
"612",1.5,1.5,FALSE,4,6,150,9,68
"613",0,0,FALSE,4,6,150,1,69
"614",0.75,0,FALSE,4,6,150,2,69
"615",1.5,0,FALSE,4,6,150,3,69
"616",0,0.75,FALSE,4,6,150,4,69
"617",0.75,0.75,FALSE,4,6,150,5,69
"618",1.5,0.75,FALSE,4,6,150,6,69
"619",0,1.5,FALSE,4,6,150,7,69
"620",0.75,1.5,FALSE,4,6,150,8,69
"621",1.5,1.5,FALSE,4,6,150,9,69
"622",0,0,FALSE,4,6,150,1,70
"623",0.75,0,FALSE,4,6,150,2,70
"624",1.5,0,FALSE,4,6,150,3,70
"625",0,0.75,FALSE,4,6,150,4,70
"626",0.75,0.75,FALSE,4,6,150,5,70
"627",1.5,0.75,FALSE,4,6,150,6,70
"628",0,1.5,FALSE,4,6,150,7,70
"629",0.75,1.5,FALSE,4,6,150,8,70
"630",1.5,1.5,FALSE,4,6,150,9,70
"631",0,0,FALSE,4,6,150,1,71
"632",0.75,0,FALSE,4,6,150,2,71
"633",1.5,0,FALSE,4,6,150,3,71
"634",0,0.75,FALSE,4,6,150,4,71
"635",0.75,0.75,FALSE,4,6,150,5,71
"636",1.5,0.75,FALSE,4,6,150,6,71
"637",0,1.5,FALSE,4,6,150,7,71
"638",0.75,1.5,FALSE,4,6,150,8,71
"639",1.5,1.5,FALSE,4,6,150,9,71
"640",0,0,FALSE,4,6,150,1,72
"641",0.75,0,FALSE,4,6,150,2,72
"642",1.5,0,FALSE,4,6,150,3,72
"643",0,0.75,FALSE,4,6,150,4,72
"644",0.75,0.75,FALSE,4,6,150,5,72
"645",1.5,0.75,FALSE,4,6,150,6,72
"646",0,1.5,FALSE,4,6,150,7,72
"647",0.75,1.5,FALSE,4,6,150,8,72
"648",1.5,1.5,FALSE,4,6,150,9,72
"649",0,0,FALSE,4,6,150,1,73
"650",0.75,0,FALSE,4,6,150,2,73
"651",1.5,0,FALSE,4,6,150,3,73
"652",0,0.75,FALSE,4,6,150,4,73
"653",0.75,0.75,FALSE,4,6,150,5,73
"654",1.5,0.75,FALSE,4,6,150,6,73
"655",0,1.5,FALSE,4,6,150,7,73
"656",0.75,1.5,FALSE,4,6,150,8,73
"657",1.5,1.5,FALSE,4,6,150,9,73
"658",0,0,FALSE,4,6,150,1,74
"659",0.75,0,FALSE,4,6,150,2,74
"660",1.5,0,FALSE,4,6,150,3,74
"661",0,0.75,FALSE,4,6,150,4,74
"662",0.75,0.75,FALSE,4,6,150,5,74
"663",1.5,0.75,FALSE,4,6,150,6,74
"664",0,1.5,FALSE,4,6,150,7,74
"665",0.75,1.5,FALSE,4,6,150,8,74
"666",1.5,1.5,FALSE,4,6,150,9,74
"667",0,0,FALSE,4,6,150,1,75
"668",0.75,0,FALSE,4,6,150,2,75
"669",1.5,0,FALSE,4,6,150,3,75
"670",0,0.75,FALSE,4,6,150,4,75
"671",0.75,0.75,FALSE,4,6,150,5,75
"672",1.5,0.75,FALSE,4,6,150,6,75
"673",0,1.5,FALSE,4,6,150,7,75
"674",0.75,1.5,FALSE,4,6,150,8,75
"675",1.5,1.5,FALSE,4,6,150,9,75
"676",0,0,FALSE,4,6,150,1,76
"677",0.75,0,FALSE,4,6,150,2,76
"678",1.5,0,FALSE,4,6,150,3,76
"679",0,0.75,FALSE,4,6,150,4,76
"680",0.75,0.75,FALSE,4,6,150,5,76
"681",1.5,0.75,FALSE,4,6,150,6,76
"682",0,1.5,FALSE,4,6,150,7,76
"683",0.75,1.5,FALSE,4,6,150,8,76
"684",1.5,1.5,FALSE,4,6,150,9,76
"685",0,0,FALSE,4,6,150,1,77
"686",0.75,0,FALSE,4,6,150,2,77
"687",1.5,0,FALSE,4,6,150,3,77
"688",0,0.75,FALSE,4,6,150,4,77
"689",0.75,0.75,FALSE,4,6,150,5,77
"690",1.5,0.75,FALSE,4,6,150,6,77
"691",0,1.5,FALSE,4,6,150,7,77
"692",0.75,1.5,FALSE,4,6,150,8,77
"693",1.5,1.5,FALSE,4,6,150,9,77
"694",0,0,FALSE,4,6,150,1,78
"695",0.75,0,FALSE,4,6,150,2,78
"696",1.5,0,FALSE,4,6,150,3,78
"697",0,0.75,FALSE,4,6,150,4,78
"698",0.75,0.75,FALSE,4,6,150,5,78
"699",1.5,0.75,FALSE,4,6,150,6,78
"700",0,1.5,FALSE,4,6,150,7,78
"701",0.75,1.5,FALSE,4,6,150,8,78
"702",1.5,1.5,FALSE,4,6,150,9,78
"703",0,0,FALSE,4,6,150,1,79
"704",0.75,0,FALSE,4,6,150,2,79
"705",1.5,0,FALSE,4,6,150,3,79
"706",0,0.75,FALSE,4,6,150,4,79
"707",0.75,0.75,FALSE,4,6,150,5,79
"708",1.5,0.75,FALSE,4,6,150,6,79
"709",0,1.5,FALSE,4,6,150,7,79
"710",0.75,1.5,FALSE,4,6,150,8,79
"711",1.5,1.5,FALSE,4,6,150,9,79
"712",0,0,FALSE,4,6,150,1,80
"713",0.75,0,FALSE,4,6,150,2,80
"714",1.5,0,FALSE,4,6,150,3,80
"715",0,0.75,FALSE,4,6,150,4,80
"716",0.75,0.75,FALSE,4,6,150,5,80
"717",1.5,0.75,FALSE,4,6,150,6,80
"718",0,1.5,FALSE,4,6,150,7,80
"719",0.75,1.5,FALSE,4,6,150,8,80
"720",1.5,1.5,FALSE,4,6,150,9,80
"721",0,0,FALSE,4,6,150,1,81
"722",0.75,0,FALSE,4,6,150,2,81
"723",1.5,0,FALSE,4,6,150,3,81
"724",0,0.75,FALSE,4,6,150,4,81
"725",0.75,0.75,FALSE,4,6,150,5,81
"726",1.5,0.75,FALSE,4,6,150,6,81
"727",0,1.5,FALSE,4,6,150,7,81
"728",0.75,1.5,FALSE,4,6,150,8,81
"729",1.5,1.5,FALSE,4,6,150,9,81
"730",0,0,FALSE,4,6,150,1,82
"731",0.75,0,FALSE,4,6,150,2,82
"732",1.5,0,FALSE,4,6,150,3,82
"733",0,0.75,FALSE,4,6,150,4,82
"734",0.75,0.75,FALSE,4,6,150,5,82
"735",1.5,0.75,FALSE,4,6,150,6,82
"736",0,1.5,FALSE,4,6,150,7,82
"737",0.75,1.5,FALSE,4,6,150,8,82
"738",1.5,1.5,FALSE,4,6,150,9,82
"739",0,0,FALSE,4,6,150,1,83
"740",0.75,0,FALSE,4,6,150,2,83
"741",1.5,0,FALSE,4,6,150,3,83
"742",0,0.75,FALSE,4,6,150,4,83
"743",0.75,0.75,FALSE,4,6,150,5,83
"744",1.5,0.75,FALSE,4,6,150,6,83
"745",0,1.5,FALSE,4,6,150,7,83
"746",0.75,1.5,FALSE,4,6,150,8,83
"747",1.5,1.5,FALSE,4,6,150,9,83
"748",0,0,FALSE,4,6,150,1,84
"749",0.75,0,FALSE,4,6,150,2,84
"750",1.5,0,FALSE,4,6,150,3,84
"751",0,0.75,FALSE,4,6,150,4,84
"752",0.75,0.75,FALSE,4,6,150,5,84
"753",1.5,0.75,FALSE,4,6,150,6,84
"754",0,1.5,FALSE,4,6,150,7,84
"755",0.75,1.5,FALSE,4,6,150,8,84
"756",1.5,1.5,FALSE,4,6,150,9,84
"757",0,0,FALSE,4,6,150,1,85
"758",0.75,0,FALSE,4,6,150,2,85
"759",1.5,0,FALSE,4,6,150,3,85
"760",0,0.75,FALSE,4,6,150,4,85
"761",0.75,0.75,FALSE,4,6,150,5,85
"762",1.5,0.75,FALSE,4,6,150,6,85
"763",0,1.5,FALSE,4,6,150,7,85
"764",0.75,1.5,FALSE,4,6,150,8,85
"765",1.5,1.5,FALSE,4,6,150,9,85
"766",0,0,FALSE,4,6,150,1,86
"767",0.75,0,FALSE,4,6,150,2,86
"768",1.5,0,FALSE,4,6,150,3,86
"769",0,0.75,FALSE,4,6,150,4,86
"770",0.75,0.75,FALSE,4,6,150,5,86
"771",1.5,0.75,FALSE,4,6,150,6,86
"772",0,1.5,FALSE,4,6,150,7,86
"773",0.75,1.5,FALSE,4,6,150,8,86
"774",1.5,1.5,FALSE,4,6,150,9,86
"775",0,0,FALSE,4,6,150,1,87
"776",0.75,0,FALSE,4,6,150,2,87
"777",1.5,0,FALSE,4,6,150,3,87
"778",0,0.75,FALSE,4,6,150,4,87
"779",0.75,0.75,FALSE,4,6,150,5,87
"780",1.5,0.75,FALSE,4,6,150,6,87
"781",0,1.5,FALSE,4,6,150,7,87
"782",0.75,1.5,FALSE,4,6,150,8,87
"783",1.5,1.5,FALSE,4,6,150,9,87
"784",0,0,FALSE,4,6,150,1,88
"785",0.75,0,FALSE,4,6,150,2,88
"786",1.5,0,FALSE,4,6,150,3,88
"787",0,0.75,FALSE,4,6,150,4,88
"788",0.75,0.75,FALSE,4,6,150,5,88
"789",1.5,0.75,FALSE,4,6,150,6,88
"790",0,1.5,FALSE,4,6,150,7,88
"791",0.75,1.5,FALSE,4,6,150,8,88
"792",1.5,1.5,FALSE,4,6,150,9,88
"793",0,0,FALSE,4,6,150,1,89
"794",0.75,0,FALSE,4,6,150,2,89
"795",1.5,0,FALSE,4,6,150,3,89
"796",0,0.75,FALSE,4,6,150,4,89
"797",0.75,0.75,FALSE,4,6,150,5,89
"798",1.5,0.75,FALSE,4,6,150,6,89
"799",0,1.5,FALSE,4,6,150,7,89
"800",0.75,1.5,FALSE,4,6,150,8,89
"801",1.5,1.5,FALSE,4,6,150,9,89
"802",0,0,FALSE,4,6,150,1,90
"803",0.75,0,FALSE,4,6,150,2,90
"804",1.5,0,FALSE,4,6,150,3,90
"805",0,0.75,FALSE,4,6,150,4,90
"806",0.75,0.75,FALSE,4,6,150,5,90
"807",1.5,0.75,FALSE,4,6,150,6,90
"808",0,1.5,FALSE,4,6,150,7,90
"809",0.75,1.5,FALSE,4,6,150,8,90
"810",1.5,1.5,FALSE,4,6,150,9,90
"811",0,0,FALSE,4,6,150,1,91
"812",0.75,0,FALSE,4,6,150,2,91
"813",1.5,0,FALSE,4,6,150,3,91
"814",0,0.75,FALSE,4,6,150,4,91
"815",0.75,0.75,FALSE,4,6,150,5,91
"816",1.5,0.75,FALSE,4,6,150,6,91
"817",0,1.5,FALSE,4,6,150,7,91
"818",0.75,1.5,FALSE,4,6,150,8,91
"819",1.5,1.5,FALSE,4,6,150,9,91
"820",0,0,FALSE,4,6,150,1,92
"821",0.75,0,FALSE,4,6,150,2,92
"822",1.5,0,FALSE,4,6,150,3,92
"823",0,0.75,FALSE,4,6,150,4,92
"824",0.75,0.75,FALSE,4,6,150,5,92
"825",1.5,0.75,FALSE,4,6,150,6,92
"826",0,1.5,FALSE,4,6,150,7,92
"827",0.75,1.5,FALSE,4,6,150,8,92
"828",1.5,1.5,FALSE,4,6,150,9,92
"829",0,0,FALSE,4,6,150,1,93
"830",0.75,0,FALSE,4,6,150,2,93
"831",1.5,0,FALSE,4,6,150,3,93
"832",0,0.75,FALSE,4,6,150,4,93
"833",0.75,0.75,FALSE,4,6,150,5,93
"834",1.5,0.75,FALSE,4,6,150,6,93
"835",0,1.5,FALSE,4,6,150,7,93
"836",0.75,1.5,FALSE,4,6,150,8,93
"837",1.5,1.5,FALSE,4,6,150,9,93
"838",0,0,FALSE,4,6,150,1,94
"839",0.75,0,FALSE,4,6,150,2,94
"840",1.5,0,FALSE,4,6,150,3,94
"841",0,0.75,FALSE,4,6,150,4,94
"842",0.75,0.75,FALSE,4,6,150,5,94
"843",1.5,0.75,FALSE,4,6,150,6,94
"844",0,1.5,FALSE,4,6,150,7,94
"845",0.75,1.5,FALSE,4,6,150,8,94
"846",1.5,1.5,FALSE,4,6,150,9,94
"847",0,0,FALSE,4,6,150,1,95
"848",0.75,0,FALSE,4,6,150,2,95
"849",1.5,0,FALSE,4,6,150,3,95
"850",0,0.75,FALSE,4,6,150,4,95
"851",0.75,0.75,FALSE,4,6,150,5,95
"852",1.5,0.75,FALSE,4,6,150,6,95
"853",0,1.5,FALSE,4,6,150,7,95
"854",0.75,1.5,FALSE,4,6,150,8,95
"855",1.5,1.5,FALSE,4,6,150,9,95
"856",0,0,FALSE,4,6,150,1,96
"857",0.75,0,FALSE,4,6,150,2,96
"858",1.5,0,FALSE,4,6,150,3,96
"859",0,0.75,FALSE,4,6,150,4,96
"860",0.75,0.75,FALSE,4,6,150,5,96
"861",1.5,0.75,FALSE,4,6,150,6,96
"862",0,1.5,FALSE,4,6,150,7,96
"863",0.75,1.5,FALSE,4,6,150,8,96
"864",1.5,1.5,FALSE,4,6,150,9,96
"865",0,0,FALSE,4,6,150,1,97
"866",0.75,0,FALSE,4,6,150,2,97
"867",1.5,0,FALSE,4,6,150,3,97
"868",0,0.75,FALSE,4,6,150,4,97
"869",0.75,0.75,FALSE,4,6,150,5,97
"870",1.5,0.75,FALSE,4,6,150,6,97
"871",0,1.5,FALSE,4,6,150,7,97
"872",0.75,1.5,FALSE,4,6,150,8,97
"873",1.5,1.5,FALSE,4,6,150,9,97
"874",0,0,FALSE,4,6,150,1,98
"875",0.75,0,FALSE,4,6,150,2,98
"876",1.5,0,FALSE,4,6,150,3,98
"877",0,0.75,FALSE,4,6,150,4,98
"878",0.75,0.75,FALSE,4,6,150,5,98
"879",1.5,0.75,FALSE,4,6,150,6,98
"880",0,1.5,FALSE,4,6,150,7,98
"881",0.75,1.5,FALSE,4,6,150,8,98
"882",1.5,1.5,FALSE,4,6,150,9,98
"883",0,0,FALSE,4,6,150,1,99
"884",0.75,0,FALSE,4,6,150,2,99
"885",1.5,0,FALSE,4,6,150,3,99
"886",0,0.75,FALSE,4,6,150,4,99
"887",0.75,0.75,FALSE,4,6,150,5,99
"888",1.5,0.75,FALSE,4,6,150,6,99
"889",0,1.5,FALSE,4,6,150,7,99
"890",0.75,1.5,FALSE,4,6,150,8,99
"891",1.5,1.5,FALSE,4,6,150,9,99
"892",0,0,FALSE,4,6,150,1,100
"893",0.75,0,FALSE,4,6,150,2,100
"894",1.5,0,FALSE,4,6,150,3,100
"895",0,0.75,FALSE,4,6,150,4,100
"896",0.75,0.75,FALSE,4,6,150,5,100
"897",1.5,0.75,FALSE,4,6,150,6,100
"898",0,1.5,FALSE,4,6,150,7,100
"899",0.75,1.5,FALSE,4,6,150,8,100
"900",1.5,1.5,FALSE,4,6,150,9,100
